industry,name,description
Telecommunications,Satellite Communications,Companies that operate communication satellites providing global coverage.
Telecommunications,Telecommunications Equipment,Manufacturers of hardware for telecom networks.
Telecommunications,Telecommunications Services,"Companies offering services like voice calls, messaging, and data."
Tourism,Travel Agencies,"Businesses that sell travel, tourism-related services to the public."
Tourism,Tour Operators,Companies organizing and selling package holidays and tours.
Tourism,Accommodation,"Including hotels, B&Bs, and other types of lodging."
Tourism,Attractions,"Natural or man-made sites of interest, museums, parks, etc."
Tourism,Event Planning,Services specializing in organizing and managing events and conferences.
Transport,Road,"Companies providing transport by road such as bus, freight, and ride-sharing services."
Transport,Rail,Operators of passenger and freight train services.
Transport,Air,Airlines and cargo carriers providing domestic and international flights.
Transport,Water,Shipping companies that transport goods and people via seas and waterways.
Transport,Logistics,Companies managing the flow of goods from point of origin to end consumer.
Real Estate,Residential,Dealing with homes and housing-related properties.
Real Estate,Commercial,"Encompassing office spaces, retail units, and other business properties."
Real Estate,Industrial,Involving properties used for manufacturing and production.
Real Estate,Land Development,Firms that prepare raw land for construction and development.
Real Estate,Property Management,Companies responsible for managing real estate properties.
Pharmaceuticals,Drug Manufacturing,Companies that produce prescription and over-the-counter medications.
Pharmaceuticals,Biopharmaceuticals,Firms developing drugs derived from biological sources.
Pharmaceuticals,Generics,Companies specializing in off-patent drugs.
Pharmaceuticals,Vaccine Development,Focused on creating vaccines to prevent diseases.
Pharmaceuticals,Clinical Trials,Conducting research studies to evaluate drug safety and efficacy.
Insurance,Life Insurance,Products providing financial security for life events and after death.
Insurance,Health Insurance,Coverage for medical expenses and treatments.
Insurance,Property & Casualty,Protecting against property losses and liability damages.
Insurance,Reinsurance,Insurance purchased by insurance companies to mitigate risk.
Insurance,Specialty Insurance,Coverage for unique or high-risk areas.
Fashion,Apparel,"Designing, manufacturing, and selling clothing."
Fashion,Footwear,Specializing in the design and sale of shoes and related products.
Fashion,Accessories,"Includes items like jewelry, handbags, and belts."
Fashion,Luxury Goods,High-end goods including designer clothing and fine jewelry.
Fashion,Fast Fashion,Retailers that quickly bring fashion from the catwalk to stores at affordable prices.
Food and Beverage,Food Processing,Transforming raw ingredients into packaged food.
Food and Beverage,Beverages,"Production of drinks, both alcoholic and non-alcoholic."
Food and Beverage,Food Service,"Establishments serving prepared food, like restaurants and catering."
Food and Beverage,Food Retail,Grocery stores and supermarkets selling food to consumers.
Food and Beverage,Specialty Foods,"Producers of unique or high-quality food products, often with a focus on organic or local sourcing."
Legal Services,Corporate Law,"Advising businesses on matters such as incorporation, corporate governance, and transactions."
Legal Services,Criminal Law,Defense and prosecution of individuals charged with criminal conduct.
Legal Services,Litigation,Lawyers and firms specializing in taking legal action against individuals and organizations.
Legal Services,Intellectual Property,"Specializing in the protection of inventions, trademarks, and copyrights."
Legal Services,Family Law,"Dealing with domestic matters like divorce, child custody, and adoption."
Aerospace,Commercial Aircraft,Manufacturing and selling of aircraft for commercial airlines.
Aerospace,Defense,Producing military aircraft and defense systems.
Aerospace,Space Exploration,Design and deployment of spacecraft for missions beyond Earth.
Aerospace,Unmanned Aerial Systems,Development of drones and unmanned vehicles for various uses.
Aerospace,"Aircraft Maintenance, Repair, and Overhaul (MRO)",Services dedicated to maintaining aircraft safety and performance.
Chemicals,Basic Chemicals,"Production of essential chemicals for various industries, like plastics and petrochemicals."
Chemicals,Specialty Chemicals,Producing chemicals for specific applications in industries such as electronics or cosmetics.
Chemicals,Agricultural Chemicals,Manufacturing fertilizers and pesticides for the agriculture sector.
Chemicals,Pharmaceuticals,Developing and producing chemical compounds for medical use.
Chemicals,Biochemicals,Using biological processes to create chemicals for a variety of applications.
Electronics,Consumer Electronics,Manufacturing and selling devices like smartphones and TVs to consumers.
Electronics,Semiconductors,Producing foundational components for electronic devices.
Electronics,Industrial Electronics,Providing electronic components and systems for industrial use.
Electronics,Electronic Components,"Manufacturing the parts that go into electronic devices, like capacitors and resistors."
Electronics,Wearable Technology,"Developing electronics that can be worn on the body, like smartwatches."
Environmental Services,Waste Management,Handling and disposal of waste materials.
Environmental Services,Recycling,Processing used materials into new products to prevent waste.
Environmental Services,Environmental Consulting,Advising businesses on environmental compliance and sustainability practices.
Environmental Services,Water Treatment,Purifying and sanitizing water for consumption and use.
Environmental Services,Conservation,Efforts focused on protecting and managing natural resources.
Shipping,Freight Transport,"Moving goods by land, air, or sea."
Shipping,Warehousing,Storing goods in large quantities before they are sold or further distributed.
Shipping,Courier Services,"Providing fast, door-to-door delivery services for parcels and documents."
Shipping,Supply Chain Management,Overseeing and managing the entire flow of goods from manufacturers to consumers.
Shipping,Maritime Logistics,Specializing in the logistics of shipping goods across oceans and seas.
Mining,Metal Mining,"Extraction of metal ores, such as iron, copper, and gold."
Mining,Coal Mining,Extracting coal used for fuel and steelmaking.
Mining,Quarrying,Mining non-metallic minerals like granite or limestone.
Mining,Oil and Gas Extraction,Drilling for natural resources used in energy production.
Mining,Support Activities,"Providing services to mining operations, such as drilling and surveying."
Publishing,Book Publishing,The production and dissemination of literature or information in book form.
Publishing,Newspapers,The publication of news through daily or weekly printed papers.
Publishing,Magazines,"Periodical publications containing a variety of articles, typically on specific subjects."
Publishing,Digital Publishing,Publishing content through digital platforms like e-books and online articles.
Publishing,Academic and Technical Publishing,Specializing in publications for educational and technical fields.
Renewable Energy,Solar Power,Harnessing sunlight for energy through photovoltaic or thermal systems.
Renewable Energy,Wind Power,Generating energy using wind turbines.
Renewable Energy,Hydro Power,"Producing energy from water sources, like dams and tidal systems."
Renewable Energy,Bioenergy,"Creating energy from biological sources, such as plants or organic waste."
Renewable Energy,Geothermal,Utilizing heat from within the Earth for power generation.
Sports,Professional Teams and Leagues,Organizations and companies that operate professional sports teams and leagues.
Sports,Sports Events and Promotion,Planning and promoting sporting events and tournaments.
Sports,Sports Training and Academies,Facilities and programs dedicated to training athletes.
Sports,Sporting Goods Manufacturing,Producing equipment and apparel for various sports activities.
Sports,Sports Medicine,Healthcare services focusing on the treatment and prevention of sports-related injuries.
